見直す,見直す,動詞,子音動詞サ行
みなす,みなす,動詞,子音動詞サ行
見慣れる,慣れる,動詞,母音動詞
見逃す,見逃す,動詞,子音動詞サ行
見守る,見守る,動詞,子音動詞ラ行
迎える,迎える,動詞,母音動詞
向く,向く,動詞,子音動詞カ行
むく,むく,動詞,子音動詞カ行
報う,い,接尾辞,イ形容詞アウオ段
報われる,報われる,動詞,母音動詞
向ける,向ける,動詞,母音動詞
むける,むける,動詞,母音動詞
無視する,する,動詞,サ変動詞
矛盾する,する,動詞,サ変動詞
蒸す,蒸す,動詞,子音動詞サ行
結び付ける,付ける,動詞,母音動詞
結ぶ,結ぶ,動詞,子音動詞バ行
命じる,命じる,動詞,母音動詞
命令する,する,動詞,サ変動詞
迷惑する,する,動詞,サ変動詞
メールする,する,動詞,サ変動詞
恵まれる,れる,接尾辞,母音動詞
恵む,恵む,動詞,子音動詞マ行
巡る,巡る,動詞,子音動詞ラ行
目指す,目指す,動詞,子音動詞サ行
目立つ,目立つ,動詞,子音動詞タ行
面接する,する,動詞,サ変動詞
面談する,する,動詞,サ変動詞
もうかる,もうかる,動詞,子音動詞ラ行
もうける,もうける,動詞,母音動詞
設ける,設ける,動詞,母音動詞
申し出る,申し出る,動詞,母音動詞
目撃する,する,動詞,サ変動詞
潜る,潜る,動詞,子音動詞ラ行
もたらす,もたらす,動詞,子音動詞サ行
もたれる,れる,接尾辞,母音動詞
持ち上げる,上げる,動詞,母音動詞
持ち込む,込む,動詞,子音動詞マ行
持ち寄る,持ち寄る,動詞,子音動詞ラ行
基づく,基づく,動詞,子音動詞カ行
求める,求める,動詞,母音動詞
もむ,もむ,動詞,子音動詞マ行
燃やす,燃やす,動詞,子音動詞サ行
催す,催す,動詞,子音動詞サ行
盛り上がる,盛り上がる,動詞,子音動詞ラ行
盛り上げる,盛り上げる,動詞,母音動詞
盛りつける,つける,動詞,母音動詞
盛る,盛る,動詞,子音動詞ラ行
訳す,訳す,動詞,子音動詞サ行
やってくる,やってくる,動詞,カ変動詞
雇う,雇う,動詞,子音動詞ワ行
破る,破る,動詞,子音動詞ラ行
敗れる,敗れる,動詞,母音動詞
やり遂げる,遂げる,動詞,母音動詞
輸血する,する,動詞,サ変動詞
譲る,譲る,動詞,子音動詞ラ行
油断する,する,動詞,サ変動詞
ゆでる,ゆでる,動詞,母音動詞
許す,許す,動詞,子音動詞サ行
揺れる,揺れる,動詞,母音動詞
養殖する,する,動詞,サ変動詞
用心する,する,動詞,サ変動詞
予感する,する,動詞,サ変動詞
予言する,する,動詞,サ変動詞
予告する,する,動詞,サ変動詞
よす,よす,動詞,子音動詞サ行
寄せる,寄せる,動詞,母音動詞
予想する,する,動詞,サ変動詞
予測する,する,動詞,サ変動詞
予知する,する,動詞,サ変動詞
酔っ払う,酔っ払う,動詞,子音動詞ワ行
呼びかける,呼びかける,動詞,母音動詞
呼びつける,つける,動詞,母音動詞
呼ぶ,呼ぶ,動詞,子音動詞バ行
予防する,する,動詞,サ変動詞
読み取る,取る,動詞,子音動詞ラ行
読み間違う,間違う,動詞,子音動詞ワ行
喜ぶ,喜ぶ,動詞,子音動詞バ行
