だ,だ,判定詞,
香る,香る,動詞,子音動詞ラ行
驚く,驚く,動詞,子音動詞カ行
おどろく,おどろく,動詞,子音動詞カ行
掛ける,掛ける,動詞,母音動詞
抱える,抱える,動詞,母音動詞
かかえる,かかえる,動詞,母音動詞
掲げる,掲げる,動詞,母音動詞
かかげる,かかげる,動詞,母音動詞
構える,構える,動詞,母音動詞
かまえる,かまえる,動詞,母音動詞
来す,来す,動詞,子音動詞サ行
きたす,きたす,動詞,子音動詞サ行
係る,係る,動詞,子音動詞ラ行
醸す,醸す,動詞,子音動詞サ行
かもす,かもす,動詞,子音動詞サ行
来る,来る,動詞,カ変動詞来
きたる,きたる,動詞,カ変動詞来
輝く,輝く,動詞,子音動詞カ行
かがやく,かがやく,動詞,子音動詞カ行
通う,通う,動詞,子音動詞ワ行
かよう,かよう,動詞,子音動詞ワ行
築く,築く,動詞,子音動詞カ行
きづく,きづく,動詞,子音動詞カ行
限る,限る,動詞,子音動詞ラ行
かぎる,かぎる,動詞,子音動詞ラ行
絡まる,絡まる,動詞,子音動詞ラ行
からまる,からまる,動詞,子音動詞ラ行
清まる,清まる,動詞,子音動詞ラ行
きよまる,きよまる,動詞,子音動詞ラ行
隠す,隠す,動詞,子音動詞サ行
かくす,かくす,動詞,子音動詞サ行
絡む,絡む,動詞,子音動詞マ行
からむ,からむ,動詞,子音動詞マ行
清める,清める,動詞,母音動詞
きよめる,きよめる,動詞,母音動詞
隠れる,隠れる,動詞,母音動詞
かくれる,かくれる,動詞,母音動詞
乾かす,乾かす,動詞,子音動詞サ行
かわかす,かわかす,動詞,子音動詞サ行
嫌う,嫌う,動詞,子音動詞ワ行
きらう,きらう,動詞,子音動詞ワ行
陰る,陰る,動詞,子音動詞ラ行
かげる,かげる,動詞,子音動詞ラ行
渇く,渇く,動詞,子音動詞カ行
かわく,かわく,動詞,子音動詞カ行
窮まる,窮まる,動詞,子音動詞ラ行
きわまる,きわまる,動詞,子音動詞ラ行
