だ,だ,判定詞,
愛おしい,愛おしい,形容詞,形容詞
いとおしい,いとおしい,形容詞,形容詞
愛しい,愛しい,形容詞,イ形容詞イ段
いとしい,いとしい,形容詞,イ形容詞イ段
厭わしい,厭わしい,形容詞,形容詞
いとわしい,いとわしい,形容詞,形容詞
訝しい,訝しい,形容詞,イ形容詞イ段
いぶかしい,いぶかしい,形容詞,イ形容詞イ段
忌々しい,忌々しい,形容詞,イ形容詞イ段
いまいましい,いまいましい,形容詞,イ形容詞イ段
今めかしい,今めかしい,形容詞,形容詞
いまめかしい,いまめかしい,形容詞,形容詞
忌まわしい,忌まわしい,形容詞,イ形容詞イ段
いまわしい,いまわしい,形容詞,イ形容詞イ段
卑しい,卑しい,形容詞,イ形容詞イ段
いやしい,いやしい,形容詞,イ形容詞イ段
嫌らしい,嫌らしい,形容詞,イ形容詞イ段
いやらしい,いやらしい,形容詞,イ形容詞イ段
色っぽい,色っぽい,形容詞,イ形容詞アウオ段
いろっぽい,いろっぽい,形容詞,イ形容詞アウオ段
初い,初い,形容詞,形容詞
うい,うい,形容詞,形容詞
うざい,うざい,形容詞,イ形容詞アウオ段
うざったい,うざったい,形容詞,形容詞
胡散臭い,胡散臭い,形容詞,イ形容詞アウオ段
うさんくさい,うさんくさい,形容詞,イ形容詞アウオ段
後ろめたい,後ろめたい,形容詞,イ形容詞アウオ段
うしろめたい,うしろめたい,形容詞,イ形容詞アウオ段
薄い,薄い,形容詞,イ形容詞アウオ段
うすい,うすい,形容詞,イ形容詞アウオ段
薄暗い,薄暗い,形容詞,イ形容詞アウオ段
うすぐらい,うすぐらい,形容詞,イ形容詞アウオ段
疑い深い,疑い深い,形容詞,形容詞
うたがいぶかい,うたがいぶかい,形容詞,形容詞
疑わしい,疑わしい,形容詞,イ形容詞イ段
うたがわしい,うたがわしい,形容詞,イ形容詞イ段
美しい,美しい,形容詞,イ形容詞イ段
うつくしい,うつくしい,形容詞,イ形容詞イ段
鬱陶しい,鬱陶しい,形容詞,イ形容詞イ段
うっとうしい,うっとうしい,形容詞,イ形容詞イ段
疎い,疎い,形容詞,イ形容詞アウオ段
うとい,うとい,形容詞,イ形容詞アウオ段
うとうとしい,うとうとしい,形容詞,形容詞
疎ましい,疎ましい,形容詞,形容詞
うとましい,うとましい,形容詞,形容詞
上手い,上手い,形容詞,イ形容詞アウオ段
うまい,うまい,形容詞,イ形容詞アウオ段
恭しい,恭しい,形容詞,イ形容詞イ段
うやうやしい,うやうやしい,形容詞,イ形容詞イ段
心悲しい,心悲しい,形容詞,形容詞
こころがなしい,こころがなしい,形容詞,形容詞
うら寂しい,うら寂しい,形容詞,イ形容詞イ段
うらさびしい,うらさびしい,形容詞,イ形容詞イ段
恨めしい,恨めしい,形容詞,イ形容詞イ段
うらめしい,うらめしい,形容詞,イ形容詞イ段
羨ましい,羨ましい,形容詞,イ形容詞イ段
うらやましい,うらやましい,形容詞,イ形容詞イ段
煩い,煩い,形容詞,イ形容詞アウオ段
うるさい,うるさい,形容詞,イ形容詞アウオ段
麗しい,麗しい,形容詞,イ形容詞イ段
うるわしい,うるわしい,形容詞,イ形容詞イ段
嬉しい,嬉しい,形容詞,イ形容詞イ段
うれしい,うれしい,形容詞,イ形容詞イ段
ええ,ええ,形容詞,形容詞
エグい,エグい,形容詞,形容詞
えぐい,えぐい,形容詞,形容詞
偉い,偉い,形容詞,イ形容詞アウオ段
えらい,えらい,形容詞,イ形容詞アウオ段
美味しい,美味しい,形容詞,イ形容詞イ段
おいしい,おいしい,形容詞,イ形容詞イ段
多い,多い,形容詞,イ形容詞アウオ段
おおい,おおい,形容詞,イ形容詞アウオ段
大きい,大きい,形容詞,イ形容詞イ段特殊
おおきい,おおきい,形容詞,イ形容詞イ段特殊
可笑しい,可笑しい,形容詞,イ形容詞イ段
おかしい,おかしい,形容詞,イ形容詞イ段
奥床しい,奥床しい,形容詞,イ形容詞イ段
おくゆかしい,おくゆかしい,形容詞,イ形容詞イ段
おぐらい,おぐらい,形容詞,形容詞
烏滸がましい,烏滸がましい,形容詞,イ形容詞イ段
痴がましい,痴がましい,形容詞,イ形容詞イ段
おこがましい,おこがましい,形容詞,イ形容詞イ段
怒りっぽい,怒りっぽい,形容詞,イ形容詞アウオ段
おこりっぽい,おこりっぽい,形容詞,イ形容詞アウオ段
幼い,幼い,形容詞,イ形容詞アウオ段
おさない,おさない,形容詞,イ形容詞アウオ段
惜しい,惜しい,形容詞,イ形容詞イ段
おしい,おしい,形容詞,イ形容詞イ段
押し付けがましい,押し付けがましい,形容詞,形容詞
おしつげがましい,おしつげがましい,形容詞,形容詞
遅い,遅い,形容詞,イ形容詞アウオ段
おそい,おそい,形容詞,イ形容詞アウオ段
おそがい,おそがい,形容詞,形容詞
恐れ多い,恐れ多い,形容詞,イ形容詞アウオ段
おそれおおい,おそれおおい,形容詞,イ形容詞アウオ段
恐ろしい,恐ろしい,形容詞,イ形容詞イ段
おそろしい,おそろしい,形容詞,イ形容詞イ段
大人しい,大人しい,形容詞,イ形容詞イ段
おとなしい,おとなしい,形容詞,イ形容詞イ段
夥しい,夥しい,形容詞,イ形容詞イ段
おびただしい,おびただしい,形容詞,イ形容詞イ段
重い,重い,形容詞,イ形容詞アウオ段
おもい,おもい,形容詞,イ形容詞アウオ段
思い掛けない,思い掛けない,形容詞,イ形容詞アウオ段
おもいがけない,おもいがけない,形容詞,イ形容詞アウオ段
面白い,面白い,形容詞,イ形容詞アウオ段
おもしろい,おもしろい,形容詞,イ形容詞アウオ段
重たい,重たい,形容詞,イ形容詞アウオ段
おもたい,おもたい,形容詞,イ形容詞アウオ段
おもっしょい,おもっしょい,形容詞,形容詞
オモロい,オモロい,形容詞,イ形容詞アウオ段
おもろい,おもろい,形容詞,イ形容詞アウオ段
かいい,かいい,形容詞,形容詞
甲斐ない,甲斐ない,形容詞,形容詞
かいない,かいない,形容詞,形容詞
輝かしい,輝かしい,形容詞,イ形容詞イ段
かがやかしい,かがやかしい,形容詞,イ形容詞イ段
限り無い,限り無い,形容詞,イ形容詞アウオ段
かぎりない,かぎりない,形容詞,イ形容詞アウオ段
芳しい,芳しい,形容詞,イ形容詞イ段
かぐわしい,かぐわしい,形容詞,イ形容詞イ段
賢い,賢い,形容詞,イ形容詞アウオ段
かしこい,かしこい,形容詞,イ形容詞アウオ段
姦しい,姦しい,形容詞,形容詞
かしましい,かしましい,形容詞,形容詞
堅い,堅い,形容詞,イ形容詞アウオ段
固い,固い,形容詞,イ形容詞アウオ段
硬い,硬い,形容詞,イ形容詞アウオ段
かたい,かたい,形容詞,イ形容詞アウオ段
堅苦しい,堅苦しい,形容詞,イ形容詞イ段
かたくるしい,かたくるしい,形容詞,イ形容詞イ段
かったるい,かったるい,形容詞,形容詞
悲しい,悲しい,形容詞,イ形容詞イ段
かなしい,かなしい,形容詞,イ形容詞イ段
黴臭い,黴臭い,形容詞,形容詞
かびくさい,かびくさい,形容詞,形容詞
喧しい,喧しい,形容詞,イ形容詞イ段
かまびすしい,かまびすしい,形容詞,イ形容詞イ段
我慢強い,我慢強い,形容詞,イ形容詞アウオ段
がまんづよい,がまんづよい,形容詞,イ形容詞アウオ段
痒い,痒い,形容詞,イ形容詞アウオ段
かゆい,かゆい,形容詞,イ形容詞アウオ段
か弱い,か弱い,形容詞,イ形容詞アウオ段
かよわい,かよわい,形容詞,イ形容詞アウオ段
辛い,辛い,形容詞,イ形容詞アウオ段
からい,からい,形容詞,イ形容詞アウオ段
軽い,軽い,形容詞,イ形容詞アウオ段
かるい,かるい,形容詞,イ形容詞アウオ段
軽々しい,軽々しい,形容詞,イ形容詞イ段
かるがるしい,かるがるしい,形容詞,イ形容詞イ段
可愛い,可愛い,形容詞,イ形容詞イ段
かわいい,かわいい,形容詞,イ形容詞イ段
可愛らしい,可愛らしい,形容詞,イ形容詞イ段
かわいらしい,かわいらしい,形容詞,イ形容詞イ段
頑是無い,頑是無い,形容詞,形容詞
がんぜない,がんぜない,形容詞,形容詞
芳しい,芳しい,形容詞,イ形容詞イ段
かんばしい,かんばしい,形容詞,イ形容詞イ段
黄色い,黄色い,形容詞,イ形容詞アウオ段
きいろい,きいろい,形容詞,イ形容詞アウオ段
ぎこちない,ぎこちない,形容詞,イ形容詞アウオ段
規則正しい,規則正しい,形容詞,イ形容詞イ段
きそくただしい,きそくただしい,形容詞,イ形容詞イ段
汚い,汚い,形容詞,イ形容詞アウオ段
きたない,きたない,形容詞,イ形容詞アウオ段
きな臭い,きな臭い,形容詞,イ形容詞アウオ段
きなくさい,きなくさい,形容詞,イ形容詞アウオ段
厳しい,厳しい,形容詞,イ形容詞イ段
きびしい,きびしい,形容詞,イ形容詞イ段
きもい,きもい,形容詞,形容詞
清い,清い,形容詞,イ形容詞アウオ段
きよい,きよい,形容詞,イ形容詞アウオ段
興味深い,興味深い,形容詞,イ形容詞アウオ段
きょうみぶかい,きょうみぶかい,形容詞,イ形容詞アウオ段
綺麗,綺麗,形容詞,ナ形容詞
きれい,きれい,形容詞,ナ形容詞
際どい,際どい,形容詞,イ形容詞アウオ段
きわどい,きわどい,形容詞,イ形容詞アウオ段
極まりない,極まりない,形容詞,イ形容詞アウオ段
きわまりない,きわまりない,形容詞,イ形容詞アウオ段
臭い,臭い,形容詞,イ形容詞アウオ段
くさい,くさい,形容詞,イ形容詞アウオ段
擽ったい,擽ったい,形容詞,イ形容詞アウオ段
くすぐったい,くすぐったい,形容詞,イ形容詞アウオ段
下らない,下らない,形容詞,イ形容詞アウオ段
くだらない,くだらない,形容詞,イ形容詞アウオ段
口さがない,口さがない,形容詞,イ形容詞アウオ段
くちさがない,くちさがない,形容詞,イ形容詞アウオ段
諄い,諄い,形容詞,イ形容詞アウオ段
くどい,くどい,形容詞,イ形容詞アウオ段
くどくどしい,くどくどしい,形容詞,形容詞
凹い,凹い,形容詞,形容詞
くぼい,くぼい,形容詞,形容詞
悔しい,悔しい,形容詞,イ形容詞イ段
くやしい,くやしい,形容詞,イ形容詞イ段
暗い,暗い,形容詞,イ形容詞アウオ段
くらい,くらい,形容詞,イ形容詞アウオ段
狂おしい,狂おしい,形容詞,形容詞
くるおしい,くるおしい,形容詞,形容詞
苦しい,苦しい,形容詞,イ形容詞イ段
くるしい,くるしい,形容詞,イ形容詞イ段
黒い,黒い,形容詞,イ形容詞アウオ段
くろい,くろい,形容詞,イ形容詞アウオ段
詳しい,詳しい,形容詞,イ形容詞イ段
くわしい,くわしい,形容詞,イ形容詞イ段
汚らわしい,汚らわしい,形容詞,イ形容詞イ段
けがらわしい,けがらわしい,形容詞,イ形容詞イ段
けたたましい,けたたましい,形容詞,イ形容詞イ段
気怠い,気怠い,形容詞,イ形容詞アウオ段
けだるい,けだるい,形容詞,イ形容詞アウオ段
けばけばしい,けばけばしい,形容詞,イ形容詞イ段
煙い,煙い,形容詞,イ形容詞アウオ段
けむい,けむい,形容詞,イ形容詞アウオ段
煙たい,煙たい,形容詞,イ形容詞アウオ段
けむたい,けむたい,形容詞,イ形容詞アウオ段
険しい,険しい,形容詞,イ形容詞イ段
けわしい,けわしい,形容詞,イ形容詞イ段
濃い,濃い,形容詞,イ形容詞アウオ段
こい,こい,形容詞,イ形容詞アウオ段
恋しい,恋しい,形容詞,イ形容詞イ段
こいしい,こいしい,形容詞,イ形容詞イ段
香ばしい,香ばしい,形容詞,イ形容詞イ段
こうばしい,こうばしい,形容詞,イ形容詞イ段
こえ,こえ,形容詞,形容詞
こぐらい,こぐらい,形容詞,形容詞
心苦しい,心苦しい,形容詞,イ形容詞イ段
こころぐるしい,こころぐるしい,形容詞,イ形容詞イ段
心寂しい,心寂しい,形容詞,形容詞
こころさびしい,こころさびしい,形容詞,形容詞
心強い,心強い,形容詞,イ形容詞アウオ段
こころづよい,こころづよい,形容詞,イ形容詞アウオ段
心細い,心細い,形容詞,イ形容詞アウオ段
こころぼそい,こころぼそい,形容詞,イ形容詞アウオ段
快い,快い,形容詞,イ形容詞アウオ段
こころよい,こころよい,形容詞,イ形容詞アウオ段
こしょばい,こしょばい,形容詞,形容詞
こそばい,こそばい,形容詞,形容詞
子供っぽい,子供っぽい,形容詞,形容詞
こどもっぽい,こどもっぽい,形容詞,形容詞
此の上ない,此の上ない,形容詞,形容詞
このうえない,このうえない,形容詞,形容詞
好ましい,好ましい,形容詞,イ形容詞イ段
このましい,このましい,形容詞,イ形容詞イ段
細かい,細かい,形容詞,イ形容詞アウオ段
こまかい,こまかい,形容詞,イ形容詞アウオ段
怖い,怖い,形容詞,イ形容詞アウオ段
こわい,こわい,形容詞,イ形容詞アウオ段
さくい,さくい,形容詞,形容詞
寂しい,寂しい,形容詞,イ形容詞イ段
さびしい,さびしい,形容詞,イ形容詞イ段
淋しい,淋しい,形容詞,形容詞
さみしい,さみしい,形容詞,イ形容詞イ段
寒い,寒い,形容詞,イ形容詞アウオ段
さむい,さむい,形容詞,イ形容詞アウオ段
さもしい,さもしい,形容詞,イ形容詞イ段
騒がしい,騒がしい,形容詞,イ形容詞イ段
さわがしい,さわがしい,形容詞,イ形容詞イ段
塩辛い,塩辛い,形容詞,イ形容詞アウオ段
しおからい,しおからい,形容詞,イ形容詞アウオ段
四角い,四角い,形容詞,イ形容詞アウオ段
しかくい,しかくい,形容詞,イ形容詞アウオ段
しかつめらしい,しかつめらしい,形容詞,イ形容詞イ段
親しい,親しい,形容詞,イ形容詞イ段
したしい,したしい,形容詞,イ形容詞イ段
滴る,滴る,形容詞,子音動詞ラ行
したたる,したたる,形容詞,子音動詞ラ行
慈悲深い,慈悲深い,形容詞,形容詞
じひぶかい,じひぶかい,形容詞,形容詞
渋い,渋い,形容詞,イ形容詞アウオ段
しぶい,しぶい,形容詞,イ形容詞アウオ段
しゃあない,しゃあない,形容詞,形容詞
執念深い,執念深い,形容詞,イ形容詞アウオ段
しゅうねんぶかい,しゅうねんぶかい,形容詞,イ形容詞アウオ段
白い,白い,形容詞,イ形容詞アウオ段
しろい,しろい,形容詞,イ形容詞アウオ段
信心深い,信心深い,形容詞,イ形容詞アウオ段
しんじんぶかい,しんじんぶかい,形容詞,イ形容詞アウオ段
しんどい,しんどい,形容詞,イ形容詞アウオ段
辛抱強い,辛抱強い,形容詞,イ形容詞アウオ段
しんぼうづよい,しんぼうづよい,形容詞,イ形容詞アウオ段
好い,好い,形容詞,イ形容詞アウオ段
すい,すい,形容詞,イ形容詞アウオ段
図々しい,図々しい,形容詞,イ形容詞イ段
ずうずうしい,ずうずうしい,形容詞,イ形容詞イ段
清々しい,清々しい,形容詞,イ形容詞イ段
すがすがしい,すがすがしい,形容詞,イ形容詞イ段
少ない,少ない,形容詞,イ形容詞アウオ段
すくない,すくない,形容詞,イ形容詞アウオ段
凄い,凄い,形容詞,イ形容詞アウオ段
すごい,すごい,形容詞,イ形容詞アウオ段
すこっちょい,すこっちょい,形容詞,形容詞
凄まじい,凄まじい,形容詞,イ形容詞イ段
すさまじい,すさまじい,形容詞,イ形容詞イ段
涼しい,涼しい,形容詞,イ形容詞イ段
すずしい,すずしい,形容詞,イ形容詞イ段
酸っぱい,酸っぱい,形容詞,イ形容詞アウオ段
すっぱい,すっぱい,形容詞,イ形容詞アウオ段
素早い,素早い,形容詞,イ形容詞アウオ段
すばやい,すばやい,形容詞,イ形容詞アウオ段
素晴らしい,素晴らしい,形容詞,イ形容詞イ段
すばらしい,すばらしい,形容詞,イ形容詞イ段
狡い,狡い,形容詞,イ形容詞アウオ段
ずるい,ずるい,形容詞,イ形容詞アウオ段
狡賢い,狡賢い,形容詞,イ形容詞アウオ段
ずるがしこい,ずるがしこい,形容詞,イ形容詞アウオ段
鋭い,鋭い,形容詞,イ形容詞アウオ段
するどい,するどい,形容詞,イ形容詞アウオ段
せこい,せこい,形容詞,形容詞
切無い,切無い,形容詞,イ形容詞アウオ段
せつない,せつない,形容詞,イ形容詞アウオ段
狭い,狭い,形容詞,イ形容詞アウオ段
せまい,せまい,形容詞,イ形容詞アウオ段
忙しない,忙しない,形容詞,イ形容詞イ段
せわしない,せわしない,形容詞,イ形容詞イ段
空々しい,空々しい,形容詞,イ形容詞イ段
そらぞらしい,そらぞらしい,形容詞,イ形容詞イ段
他愛ない,他愛ない,形容詞,形容詞
たあいない,たあいない,形容詞,形容詞
耐え難い,耐え難い,形容詞,イ形容詞アウオ段
たえがたい,たえがたい,形容詞,イ形容詞アウオ段
絶え間ない,絶え間ない,形容詞,形容詞
たえまない,たえまない,形容詞,形容詞
高い,高い,形容詞,イ形容詞アウオ段
たかい,たかい,形容詞,イ形容詞アウオ段
類いない,類いない,形容詞,形容詞
たぐいない,たぐいない,形容詞,形容詞
猛々しい,猛々しい,形容詞,イ形容詞イ段
たけだけしい,たけだけしい,形容詞,イ形容詞イ段
正しい,正しい,形容詞,イ形容詞イ段
ただしい,ただしい,形容詞,イ形容詞イ段
尊い,尊い,形容詞,形容詞
たっとい,たっとい,形容詞,形容詞
辿々しい,辿々しい,形容詞,イ形容詞イ段
たどたどしい,たどたどしい,形容詞,イ形容詞イ段
楽しい,楽しい,形容詞,イ形容詞イ段
たのしい,たのしい,形容詞,イ形容詞イ段
頼もしい,頼もしい,形容詞,イ形容詞イ段
たのもしい,たのもしい,形容詞,イ形容詞イ段
容易い,容易い,形容詞,イ形容詞アウオ段
たやすい,たやすい,形容詞,イ形容詞アウオ段
弛む,弛む,形容詞,子音動詞マ行
たゆむ,たゆむ,形容詞,子音動詞マ行
頼り無い,頼り無い,形容詞,イ形容詞アウオ段
たよりない,たよりない,形容詞,イ形容詞アウオ段
だらしない,だらしない,形容詞,イ形容詞アウオ段
だるい,だるい,形容詞,イ形容詞アウオ段
他愛ない,他愛ない,形容詞,形容詞
たあいない,たあいない,形容詞,形容詞
小さい,小さい,形容詞,イ形容詞アウオ段
ちいさい,ちいさい,形容詞,イ形容詞アウオ段
近い,近い,形容詞,イ形容詞アウオ段
ちかい,ちかい,形容詞,イ形容詞アウオ段
血生臭い,血生臭い,形容詞,イ形容詞アウオ段
ちなまぐさい,ちなまぐさい,形容詞,イ形容詞アウオ段
注意深い,注意深い,形容詞,イ形容詞アウオ段
ちゅういぶかい,ちゅういぶかい,形容詞,イ形容詞アウオ段
恙無い,恙無い,形容詞,イ形容詞アウオ段
つつがない,つつがない,形容詞,イ形容詞アウオ段
慎み深い,慎み深い,形容詞,イ形容詞アウオ段
つつしみぶかい,つつしみぶかい,形容詞,イ形容詞アウオ段
慎ましい,慎ましい,形容詞,イ形容詞イ段
つつましい,つつましい,形容詞,イ形容詞イ段
冷たい,冷たい,形容詞,イ形容詞アウオ段
つべたい,つべたい,形容詞,イ形容詞アウオ段
倹しい,倹しい,形容詞,イ形容詞イ段
つましい,つましい,形容詞,イ形容詞イ段
つまらない,つまらない,形容詞,イ形容詞アウオ段
冷たい,冷たい,形容詞,イ形容詞アウオ段
つめたい,つめたい,形容詞,イ形容詞アウオ段
強い,強い,形容詞,イ形容詞アウオ段
つよい,つよい,形容詞,イ形容詞アウオ段
辛い,辛い,形容詞,イ形容詞アウオ段
つらい,つらい,形容詞,イ形容詞アウオ段
手厚い,手厚い,形容詞,イ形容詞アウオ段
てあつい,てあつい,形容詞,イ形容詞アウオ段
でかい,でかい,形容詞,イ形容詞アウオ段
手軽い,手軽い,形容詞,形容詞
てがるい,てがるい,形容詞,形容詞
照れ臭い,照れ臭い,形容詞,イ形容詞アウオ段
てれくさい,てれくさい,形容詞,イ形容詞アウオ段
尊い,尊い,形容詞,イ形容詞アウオ段
とうとい,とうとい,形容詞,イ形容詞アウオ段
遠い,遠い,形容詞,イ形容詞アウオ段
とおい,とおい,形容詞,イ形容詞アウオ段
乏しい,乏しい,形容詞,イ形容詞イ段
とぼしい,とぼしい,形容詞,イ形容詞イ段
とんでもない,とんでもない,形容詞,イ形容詞アウオ段
ない,ない,形容詞,イ形容詞アウオ段
ナウい,ナウい,形容詞,形容詞
なうい,なうい,形容詞,形容詞
長たらしい,長たらしい,形容詞,イ形容詞イ段
ながたらしい,ながたらしい,形容詞,イ形容詞イ段
長ったらしい,長ったらしい,形容詞,イ形容詞イ段
ながったらしい,ながったらしい,形容詞,イ形容詞イ段
永い,永い,形容詞,イ形容詞アウオ段
ながい,ながい,形容詞,イ形容詞アウオ段
嘆かわしい,嘆かわしい,形容詞,イ形容詞イ段
なげかわしい,なげかわしい,形容詞,イ形容詞イ段
名残惜しい,名残惜しい,形容詞,イ形容詞イ段
なごりおしい,なごりおしい,形容詞,イ形容詞イ段
情け無い,情け無い,形容詞,イ形容詞アウオ段
なさけない,なさけない,形容詞,イ形容詞アウオ段
名高い,名高い,形容詞,イ形容詞アウオ段
なだかい,なだかい,形容詞,イ形容詞アウオ段
懐い,懐い,形容詞,イ形容詞アウオ段
なつい,なつい,形容詞,イ形容詞アウオ段
懐かしい,懐かしい,形容詞,イ形容詞イ段
なつかしい,なつかしい,形容詞,イ形容詞イ段
生暖かい,生暖かい,形容詞,イ形容詞アウオ段
なまあたたかい,なまあたたかい,形容詞,イ形容詞アウオ段
生臭い,生臭い,形容詞,イ形容詞アウオ段
なまぐさい,なまぐさい,形容詞,イ形容詞アウオ段
生々しい,生々しい,形容詞,イ形容詞イ段
なまなましい,なまなましい,形容詞,イ形容詞イ段
艶めかしい,艶めかしい,形容詞,イ形容詞イ段
なまめかしい,なまめかしい,形容詞,イ形容詞イ段
涙脆い,涙脆い,形容詞,イ形容詞アウオ段
なみだもろい,なみだもろい,形容詞,イ形容詞アウオ段
馴れ馴れしい,馴れ馴れしい,形容詞,イ形容詞イ段
なれなれしい,なれなれしい,形容詞,イ形容詞イ段
煮えきらない,煮えきらない,形容詞,形容詞
にえきらない,にえきらない,形容詞,形容詞
苦い,苦い,形容詞,イ形容詞アウオ段
にがい,にがい,形容詞,イ形容詞アウオ段
苦々しい,苦々しい,形容詞,イ形容詞イ段
にがにがしい,にがにがしい,形容詞,イ形容詞イ段
賑々しい,賑々しい,形容詞,形容詞
にぎにぎしい,にぎにぎしい,形容詞,形容詞
賑わしい,賑わしい,形容詞,形容詞
にぎわしい,にぎわしい,形容詞,形容詞
憎い,憎い,形容詞,イ形容詞アウオ段
にくい,にくい,形容詞,イ形容詞アウオ段
憎らしい,憎らしい,形容詞,イ形容詞イ段
にくらしい,にくらしい,形容詞,イ形容詞イ段
似付かわしい,似付かわしい,形容詞,イ形容詞イ段
につかわしい,につかわしい,形容詞,イ形容詞イ段
鈍い,鈍い,形容詞,イ形容詞アウオ段
にぶい,にぶい,形容詞,イ形容詞アウオ段
忍耐強い,忍耐強い,形容詞,イ形容詞アウオ段
にんたいづよい,にんたいづよい,形容詞,イ形容詞アウオ段
温い,温い,形容詞,イ形容詞アウオ段
ぬくい,ぬくい,形容詞,イ形容詞アウオ段
ぬるい,ぬるい,形容詞,イ形容詞アウオ段
ね,ね,形容詞,形容詞
妬ましい,妬ましい,形容詞,イ形容詞イ段
ねたましい,ねたましい,形容詞,イ形容詞イ段
粘り強い,粘り強い,形容詞,イ形容詞アウオ段
ねばりづよい,ねばりづよい,形容詞,イ形容詞アウオ段
根深い,根深い,形容詞,イ形容詞アウオ段
ねぶかい,ねぶかい,形容詞,イ形容詞アウオ段
眠い,眠い,形容詞,イ形容詞アウオ段
ねむい,ねむい,形容詞,イ形容詞アウオ段
残多い,残多い,形容詞,形容詞
のこりおおい,のこりおおい,形容詞,形容詞
残り惜しい,残り惜しい,形容詞,形容詞
のこりおしい,のこりおしい,形容詞,形容詞
残り少ない,残り少ない,形容詞,形容詞
のこりすくない,のこりすくない,形容詞,形容詞
望ましい,望ましい,形容詞,イ形容詞イ段
のぞましい,のぞましい,形容詞,イ形容詞イ段
鈍い,鈍い,形容詞,イ形容詞アウオ段
のろい,のろい,形容詞,イ形容詞アウオ段
儚い,儚い,形容詞,イ形容詞アウオ段
はかない,はかない,形容詞,イ形容詞アウオ段
馬鹿馬鹿しい,馬鹿馬鹿しい,形容詞,イ形容詞イ段
ばかばかしい,ばかばかしい,形容詞,イ形容詞イ段
馬鹿らしい,馬鹿らしい,形容詞,イ形容詞イ段
ばからしい,ばからしい,形容詞,イ形容詞イ段
激しい,激しい,形容詞,イ形容詞イ段
はげしい,はげしい,形容詞,イ形容詞イ段
端ない,端ない,形容詞,イ形容詞アウオ段
はしたない,はしたない,形容詞,イ形容詞アウオ段
恥ずかしい,恥ずかしい,形容詞,イ形容詞イ段
はずかしい,はずかしい,形容詞,イ形容詞イ段
バタくさい,バタくさい,形容詞,形容詞
ばたくさい,ばたくさい,形容詞,形容詞
ばっちい,ばっちい,形容詞,形容詞
果てし無い,果てし無い,形容詞,イ形容詞アウオ段
はてしない,はてしない,形容詞,イ形容詞アウオ段
甚だしい,甚だしい,形容詞,イ形容詞イ段
はなはだしい,はなはだしい,形容詞,イ形容詞イ段
花々しい,花々しい,形容詞,イ形容詞イ段
華々しい,華々しい,形容詞,イ形容詞イ段
はなばなしい,はなばなしい,形容詞,イ形容詞イ段
早い,早い,形容詞,イ形容詞アウオ段
はやい,はやい,形容詞,イ形容詞アウオ段
はんか臭い,はんか臭い,形容詞,形容詞
はんかくさい,はんかくさい,形容詞,形容詞
低い,低い,形容詞,イ形容詞アウオ段
ひくい,ひくい,形容詞,イ形容詞アウオ段
久しい,久しい,形容詞,イ形容詞イ段
ひさしい,ひさしい,形容詞,イ形容詞イ段
酷い,酷い,形容詞,イ形容詞アウオ段
ひどい,ひどい,形容詞,イ形容詞アウオ段
等しい,等しい,形容詞,イ形容詞イ段
ひとしい,ひとしい,形容詞,イ形容詞イ段
ひもじい,ひもじい,形容詞,イ形容詞イ段
広い,広い,形容詞,イ形容詞アウオ段
ひろい,ひろい,形容詞,イ形容詞アウオ段
深い,深い,形容詞,イ形容詞アウオ段
ふかい,ふかい,形容詞,イ形容詞アウオ段
不甲斐ない,不甲斐ない,形容詞,イ形容詞アウオ段
ふがいない,ふがいない,形容詞,イ形容詞アウオ段
相応しい,相応しい,形容詞,イ形容詞イ段
ふさわしい,ふさわしい,形容詞,イ形容詞イ段
太い,太い,形容詞,イ形容詞アウオ段
ふとい,ふとい,形容詞,イ形容詞アウオ段
古い,古い,形容詞,イ形容詞アウオ段
ふるい,ふるい,形容詞,イ形容詞アウオ段
古めかしい,古めかしい,形容詞,イ形容詞イ段
ふるめかしい,ふるめかしい,形容詞,イ形容詞イ段
へなっちょろい,へなっちょろい,形容詞,形容詞
誇らしい,誇らしい,形容詞,イ形容詞イ段
ほこらしい,ほこらしい,形容詞,イ形容詞イ段
埃っぽい,埃っぽい,形容詞,形容詞
ほこりっぽい,ほこりっぽい,形容詞,形容詞
欲しい,欲しい,形容詞,イ形容詞イ段
ほしい,ほしい,形容詞,イ形容詞イ段
細い,細い,形容詞,イ形容詞アウオ段
ほそい,ほそい,形容詞,イ形容詞アウオ段
細長い,細長い,形容詞,イ形容詞アウオ段
ほそながい,ほそながい,形容詞,イ形容詞アウオ段
仄暗い,仄暗い,形容詞,イ形容詞アウオ段
ほのぐらい,ほのぐらい,形容詞,イ形容詞アウオ段
頬笑ましい,頬笑ましい,形容詞,イ形容詞イ段
ほほえましい,ほほえましい,形容詞,イ形容詞イ段
真新しい,真新しい,形容詞,形容詞
まあたらしい,まあたらしい,形容詞,形容詞
紛らわしい,紛らわしい,形容詞,イ形容詞イ段
まぎらわしい,まぎらわしい,形容詞,イ形容詞イ段
不味い,不味い,形容詞,イ形容詞アウオ段
まずい,まずい,形容詞,イ形容詞アウオ段
貧しい,貧しい,形容詞,イ形容詞イ段
まずしい,まずしい,形容詞,イ形容詞イ段
間近い,間近い,形容詞,イ形容詞アウオ段
まぢかい,まぢかい,形容詞,イ形容詞アウオ段
まったい,まったい,形容詞,形容詞
目映い,目映い,形容詞,イ形容詞アウオ段
